rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
999,FA,86,dinkzj,Zowie S2 Divina Edition,"1,000",800,0.41,328,0.8,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Razer BlackWidow Chroma TE V2,
1,FPX,87,Shao,Xtrfy M4 Wireless,"1,000",400,0.428,171,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,VAXEE PA Black,HyperX Alloy FPS,HyperX Cloud II
"1,000",Streamer,88,JASONR,Zowie EC3-C,"1,000",800,0.32,256,1,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Logitech G915,Razer Adaro
45,TSM (B),89,Corey,Logitech G Pro X Superlight,"1,000",800,0.321,256,1,"OMEN by HP 24.5""",240,RTX 2080 Ti,1920x1080,Logitech G640,Corsair K-70 RGB,Logitech G Pro X
999,FA,90,Relyks,Logitech G Pro Wireless,"1,000",400,0.79,316,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,Artisan Zero (XL/Soft),HyperX Alloy FPS,HyperX Cloud II
999,FA,91,kaboose,Zowie EC2-A,"1,000",400,0.817,326,1,BenQ XL2540,240,,1600x900,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,HyperX Cloud Flight S
22,The Guard (B),92,psalm,Logitech G Pro Wireless,"1,000",800,0.34,272,1,Alienware AW2518H,240,RTX 2080 Ti,,Zowie G-SR-SE Divina Pink Edition,60% Custom Keyboard,Bose SoundSport
4,DRX,93,stax,Razer DeathAdder V3 Pro,"1,000",800,0.21,168,0.8,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
1,FPX,94,ardiis,Logitech G Pro X Superlight,"1,000",800,0.295,236,1.14,AOC AG251FZ2E,240,RTX 2080,1920x1080,Artisan Hien FX Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,95,k1Ng,Zowie EC2-B,"1,000",400,1,400,0.9,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,Zowie G-SR,Corsair K-70 RGB,HyperX Cloud II
1,FPX (B),96,rhyme,VAXEE ZYGEN NP-01,"1,000",400,0.5,200,1,BenQ XL2546,240,RTX 3080,1280x960,Zowie G-SR-SE Deep Blue,Xtrfy K4-RGB TKL,HyperX Cloud II
55,Giants,97,Fitinho,Xtrfy M4 Black,"1,000",400,0.63,252,1,BenQ XL2546,240,,1920x1080,Corsair MM350 Champion Series,Xtrfy K2-RGB,HyperX Cloud II
"1,000",Streamer,98,Morgausse,FinalMouse Ultralight 2,500,800,0.25,200,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Zowie G-SR,SteelSeries Apex Pro TKL,Sennheiser HD 599 SE
27,FaZe (B),99,POACH,Logitech G Pro X Superlight Black,"1,000",800,0.28,224,1,Alienware AW2518H,240,RTX 3080,1440x1080,Logitech G640,Razer Huntsman Mini,Beyerdynamic DT 990 Pro
74,EG,100,C0M,Logitech G Pro Wireless,"1,000",800,0.25,200,1,BenQ XL2546,240,GTX 1060,1680x1050,Logitech G640,Logitech G610,HyperX Cloud II
999,FA,102,mummAy,Logitech G703,"1,000",400,0.515,206,0.9,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,PureTrak Talent,Corsair K95 RGB,Corsair Virtuoso
